user_id,orig_row,M2ID,M2FAMNUM,answered
1415,6253,18092.0,103253.0,159
1416,2742,13507.0,101454.0,152
1417,2071,12647.0,120065.0,175
1418,7058,19133.0,103693.0,182
1419,2932,13749.0,120607.0,136
1420,4845,16269.0,102538.0,178
1421,131,10173.0,120879.0,166
1422,4762,16164.0,102498.0,176
1423,1966,12529.0,101045.0,187
1424,2887,13693.0,120131.0,177
1425,1574,12030.0,120937.0,18
1426,3991,15165.0,102084.0,195
1427,6412,18304.0,103346.0,165
1428,2407,13080.0,110173.0,180
1429,2974,13803.0,101578.0,184
1430,4489,15805.0,110256.0,200
1431,1599,12060.0,100859.0,158
1432,6120,17903.0,103182.0,163
1433,3988,15162.0,110030.0,167
1434,3687,14764.0,110279.0,155
1435,2375,13039.0,101258.0,183
1436,4767,16170.0,102502.0,193
1437,4111,15325.0,110227.0,166
1438,4399,15697.0,102307.0,175
1439,3783,14896.0,101981.0,134
1440,4166,15400.0,102176.0,159
1441,2319,12961.0,101227.0,201
1442,4095,15303.0,102139.0,171
1443,5248,16775.0,110239.0,19
1444,6046,17809.0,120522.0,115
1445,1553,12007.0,120201.0,166
1446,5568,17202.0,102899.0,121
1447,3088,13961.0,101638.0,18
1448,6576,18519.0,103430.0,196
1449,5817,17524.0,120199.0,194
1450,1444,11871.0,100773.0,175
1451,2664,13411.0,120897.0,195
1452,1491,11932.0,100799.0,169
1453,5227,16748.0,120263.0,169
1454,4414,15714.0,110019.0,18
1455,5735,17415.0,110499.0,151
1456,5461,17053.0,102849.0,25
1457,3026,13881.0,120907.0,177
1458,1663,12139.0,100890.0,172
1459,1699,12188.0,110095.0,180
1460,6109,17889.0,110457.0,139
1461,1141,11483.0,110136.0,168
1462,1130,11469.0,100604.0,174
1463,4896,16338.0,102565.0,159
1464,3087,13960.0,101637.0,135
1465,4416,15717.0,110319.0,144
1466,1393,11809.0,110103.0,188
1467,3979,15149.0,110298.0,111
1468,2413,13088.0,101279.0,23
1469,1793,12305.0,120116.0,175
1470,3230,14152.0,101703.0,172
1471,2714,13477.0,101437.0,186
1472,3713,14798.0,101939.0,130
1473,7064,19143.0,103697.0,123
1474,3305,14241.0,110242.0,182
1475,3648,14710.0,101900.0,182
1476,2274,12908.0,120507.0,185
1477,3460,14460.0,101821.0,153
1478,316,10407.0,120643.0,177
1479,5370,16941.0,102802.0,177
1480,6225,18050.0,103238.0,88
1481,4129,15349.0,102153.0,172
1482,4810,16223.0,102520.0,151
1483,6362,18239.0,103317.0,183
1484,2223,12845.0,101174.0,130
1485,6297,18152.0,103279.0,170
1486,3505,14516.0,101841.0,187
1487,1492,11933.0,120088.0,163
1488,5536,17155.0,120818.0,173
1489,241,10314.0,120800.0,117
1490,1546,11999.0,100830.0,116
1491,3767,14874.0,101973.0,133
1492,14,10017.0,100007.0,176
1493,1452,11883.0,100778.0,167
1494,4373,15661.0,102291.0,166
1495,4202,15447.0,102198.0,103
1496,6185,17996.0,103215.0,152
1497,836,11076.0,120527.0,175
1498,3779,14891.0,110028.0,20
1499,3480,14482.0,120227.0,169
